emoji_base,emoji_ext,emoji_name,unit_name,category
\U000026E9,\u0000FE0F,shinto_shrine,squat,lifting
\U0001F3D7,\U0000FE0F,construction_site,deadlift,lifting
\U0001F681,,helicopter,benchpress,lifting
\U0001F9AD,,seal,overheadpress,lifting
\U0001F422,,turtle,rows,lifting
\U0001F9BE,,mechanical_arm,curls,lifting
\U0001FA90,,ringed_planet,wimhof,wimhof
\U0001F98D,,gorilla,weights,gym
\U0001F94B,,martial_arts,martial_arts,gym
\U00002693,,anchor,yoga,gym
\U00002694,\U0000FE0F,crossed_swords,split_machine,chrono
\U0001F3F9,,bow_and_arrow,stretching,chrono
\U0001F525,,fire,nauli_kriya,chrono
\U0001F310,,globe_with_meridians,log,log
\U00002696,\U0000FE0F,scales,scales,scales
\U0001FA96,,military_helmet,running,cardio
\U0001F988,,shark,swimming,cardio
\U0001F6F6,,canoe,rowing,cardio
\U0001F985,,eagle,pullups,cali
\U0001F989,,owl,reading,mind
\U0001F4E1,,antenna,work,mind
\U0001F6F0,\U0000FE0F,satellite,study,mind
\U0001F427,,penguin,private_work,mind
