category_name,unit_name,emoji_name,emoji_text,emoji
lifting,squat,shinto_shrine,⛩,⛩️
lifting,deadlift,construction_site,🏗,🏗️
lifting,benchpress,helicopter,🚁,🚁️
lifting,overheadpress,seal,🦭,🦭️
lifting,rows,turtle,🐢,🐢️
lifting,curls,mechanical_arm,🦾,🦾️
wimhof,wimhof,ringed_planet,🪐,🪐️
gym,weights,gorilla,🦍,🦍️
gym,martial_arts,martial_arts,🥋,🥋️
gym,yoga,anchor,⚓,⚓️
chrono,split_machine,crossed_swords,⚔,⚔️
chrono,stretching,bow_and_arrow,🏹,🏹️
chrono,nauli_kriya,fire,🔥,🔥️
log,log,globe_with_meridians,🌐,🌐️
scale,scale,scales,⚖,⚖️
cardio,running,military_helmet,🪖,🪖️
cardio,swimming,shark,🦈,🦈️
cardio,rowing,canoe,🛶,🛶️
cali,pullups,eagle,🦅,🦅️
mind,reading,owl,🦉,🦉️
mind,work,antenna,📡,📡️
mind,study,satellite,🛰,🛰️
mind,private_work,penguin,🐧,🐧️
